"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";148;17;205;17;18.61;23.23;-4.63;0.13;0.11
2;"From corner";37;3;46;5;3.93;4.97;-1.04;0.11;0.11
3;"Set piece";23;1;11;0;2.64;1.45;1.19;0.11;0.13
4;"Direct Freekick";7;0;7;0;0.31;0.44;-0.13;0.04;0.06
5;"Penalty";1;1;3;2;0.76;2.28;-1.52;0.76;0.76
