"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";181;14;183;17;18.33;20.69;-2.36;0.1;0.11
2;"From corner";43;3;45;7;2.39;4.97;-2.58;0.06;0.11
3;"Set piece";13;1;18;4;1.01;3.86;-2.85;0.08;0.21
4;"Direct Freekick";8;0;5;1;0.41;0.37;0.03;0.05;0.07
5;"Penalty";1;1;4;4;0.76;3.04;-2.28;0.76;0.76
