"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";146;18;173;21;17.14;20.08;-2.94;0.12;0.12
2;"From corner";38;10;36;2;5.42;3.24;2.18;0.14;0.09
3;"Set piece";10;0;12;0;0.54;1.3;-0.76;0.05;0.11
4;"Direct Freekick";4;0;7;0;0.24;0.29;-0.05;0.06;0.04
5;"Penalty";0;0;1;1;0;0.76;-0.76;0;0.76
