"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";129;8;204;35;12.1;29.49;-17.39;0.09;0.14
2;"From corner";28;3;41;3;2.86;4.2;-1.35;0.1;0.1
3;"Set piece";11;1;15;0;1.96;1.45;0.5;0.18;0.1
4;"Direct Freekick";8;0;10;1;0.59;0.75;-0.17;0.07;0.08
5;"Penalty";3;2;1;1;2.28;0.76;1.52;0.76;0.76
