"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";181;13;156;11;25.93;19.99;5.94;0.14;0.13
2;"From corner";33;4;42;5;5.41;6.54;-1.13;0.16;0.16
3;"Set piece";16;1;21;4;1.42;2.11;-0.69;0.09;0.1
4;"Penalty";4;4;2;2;3.04;1.52;1.52;0.76;0.76
5;"Direct Freekick";2;0;7;1;0.15;0.68;-0.53;0.07;0.1
