"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";121;16;230;26;13.62;31.84;-18.22;0.11;0.14
2;"From corner";29;2;61;7;1.91;8.94;-7.03;0.07;0.15
3;"Set piece";17;0;13;1;2.13;2.1;0.03;0.13;0.16
4;"Direct Freekick";10;0;7;0;0.57;0.48;0.09;0.06;0.07
5;"Penalty";2;2;5;5;1.52;3.81;-2.28;0.76;0.76
