"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";179;14;177;23;21.14;20.44;0.7;0.12;0.12
2;"From corner";50;6;35;4;4.68;4.85;-0.17;0.09;0.14
3;"Set piece";15;2;12;1;2.6;1.46;1.14;0.17;0.12
4;"Direct Freekick";5;2;10;2;0.29;0.76;-0.47;0.06;0.08
5;"Penalty";3;2;3;3;2.28;2.28;0;0.76;0.76
