"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";181;16;167;17;22.67;20.09;2.58;0.13;0.12
2;"From corner";47;6;31;4;6.64;2.07;4.57;0.14;0.07
3;"Set piece";19;3;9;0;3.01;1.33;1.68;0.16;0.15
4;"Direct Freekick";4;0;6;1;0.22;0.39;-0.16;0.06;0.06
5;"Penalty";3;3;2;2;2.28;1.52;0.76;0.76;0.76
