"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";187;20;169;21;21.19;21.55;-0.36;0.11;0.13
2;"From corner";39;7;37;6;5.1;6.61;-1.51;0.13;0.18
3;"Set piece";6;0;10;0;0.29;1.21;-0.91;0.05;0.12
4;"Direct Freekick";3;0;7;0;0.29;0.38;-0.09;0.1;0.05
5;"Penalty";1;1;3;2;0.76;2.28;-1.52;0.76;0.76
