"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";141;14;233;16;15.18;26.47;-11.29;0.11;0.11
2;"From corner";30;2;45;3;2.33;3.67;-1.34;0.08;0.08
3;"Set piece";17;3;13;0;2.24;1;1.24;0.13;0.08
4;"Direct Freekick";2;0;4;0;0.07;0.23;-0.16;0.03;0.06
5;"Penalty";2;2;1;0;1.52;0.76;0.76;0.76;0.76
