"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";234;29;157;17;30.16;18.79;11.37;0.13;0.12
2;"From corner";42;1;34;7;3.67;3.54;0.13;0.09;0.1
3;"Set piece";13;0;13;2;1.12;1.32;-0.2;0.09;0.1
4;"Direct Freekick";8;1;10;0;0.52;0.39;0.13;0.06;0.04
5;"Penalty";1;1;3;2;0.76;2.28;-1.52;0.76;0.76
