"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";206;20;157;17;28.59;25.25;3.34;0.14;0.16
2;"From corner";49;8;30;4;6.57;3.6;2.97;0.13;0.12
3;"Set piece";12;1;18;1;1.06;1.94;-0.88;0.09;0.11
4;"Direct Freekick";9;2;9;0;0.52;0.62;-0.11;0.06;0.07
5;"Penalty";2;2;0;0;1.52;0;1.52;0.76;0
