"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";218;22;180;22;25.38;22.6;2.77;0.12;0.13
2;"From corner";28;3;43;7;5.05;3.48;1.57;0.18;0.08
3;"Set piece";18;2;14;4;1.69;1.81;-0.13;0.09;0.13
4;"Direct Freekick";11;2;4;2;0.9;0.35;0.55;0.08;0.09
5;"Penalty";3;2;3;3;2.28;2.28;0;0.76;0.76
