"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";151;26;197;24;24.43;24.46;-0.03;0.16;0.12
2;"From corner";30;1;35;1;4.66;2.77;1.89;0.16;0.08
3;"Set piece";10;0;10;1;2.04;0.35;1.69;0.2;0.03
4;"Penalty";7;5;4;2;5.33;3.04;2.28;0.76;0.76
5;"Direct Freekick";2;0;4;0;0.23;0.27;-0.04;0.12;0.07
