"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";134;13;223;26;14.67;29.58;-14.91;0.11;0.13
2;"From corner";41;4;58;11;5.17;8.35;-3.18;0.13;0.14
3;"Set piece";15;2;14;0;1.37;1.27;0.09;0.09;0.09
4;"Direct Freekick";4;0;4;0;0.28;0.16;0.12;0.07;0.04
5;"Penalty";2;2;5;4;1.52;3.81;-2.28;0.76;0.76
