"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";228;37;149;11;37.24;17.72;19.52;0.16;0.12
2;"From corner";47;6;23;5;4.94;3.9;1.04;0.11;0.17
3;"Direct Freekick";5;0;2;0;0.34;0.1;0.24;0.07;0.05
4;"Set piece";4;0;12;1;0.49;1.15;-0.66;0.12;0.1
5;"Penalty";2;1;2;1;1.52;1.52;0;0.76;0.76
