"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";226;23;121;9;30.18;14.43;15.75;0.13;0.12
2;"From corner";52;11;21;2;9.9;2.19;7.7;0.19;0.1
3;"Set piece";20;3;12;2;2.07;1.57;0.5;0.1;0.13
4;"Direct Freekick";6;0;4;1;0.24;0.24;0;0.04;0.06
5;"Penalty";3;3;0;0;2.28;0;2.28;0.76;0
